Original Word,Translated Word,Source,Used in Document
expand,پھیلانا,Glossary,No
include,شامل,Glossary,No
wallet,بٹوہ,Glossary,No
based,مبنی,Glossary,No
document,دستاویز,Glossary,No
eventually,بالآخر,Glossary,No
reports,رپورٹس,Glossary,No
social,سماجی,Glossary,No
properly,صحیح,Glossary,No
report,رپورٹ,Glossary,No
introduction,تعارف,Glossary,No
was,تھا,Glossary,No
see,دیکھنا,Glossary,No
first,پہلا,Glossary,No
you,آپ,Glossary,No
journalistic,صحافتی,Glossary,No
2,2,Glossary,No
strong,مضبوط,Glossary,No
establish,قائم,Glossary,No
can,کر,Glossary,No
phases,مراحل,Glossary,No
two,دو,Glossary,No
into,میں,Glossary,No
the,دی,Glossary,No
splitting,تقسیم,Glossary,No
by,کی,Glossary,No
functionality,فعالیت,Glossary,No
payment,ادائیگی,Glossary,No
integrates,ضم,Glossary,No
community,کمیونٹی,Glossary,No
